  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         404.4144        1.638575E-05        1.904469E-05
         406.4673        1.738164E-05        2.021721E-05
         408.5201        1.672315E-05        1.946575E-05
         410.5730        1.646857E-05        1.918367E-05
         412.6259        1.761472E-05        2.053401E-05
         414.6787        1.739389E-05        2.029164E-05
         416.7316        1.669789E-05        1.949415E-05
         418.7845        1.771496E-05        2.069689E-05
         420.8373        1.804031E-05        2.109264E-05
         422.8902        1.711161E-05        2.002166E-05
         424.9431        1.774896E-05        2.078279E-05
         426.9959        1.858442E-05        2.177720E-05
         429.0488        1.770386E-05        2.076073E-05
         431.1017        1.780751E-05        2.089775E-05
         433.1545        1.897746E-05        2.228723E-05
         435.2074        1.842278E-05        2.165184E-05
         437.2603        1.797851E-05        2.114533E-05
         439.3131        1.921040E-05        2.261094E-05
         441.3660        1.918348E-05        2.259596E-05
         443.4189        1.832847E-05        2.160483E-05
         445.4717        1.932278E-05        2.279372E-05
         447.5246        1.989032E-05        2.348055E-05
         449.5774        1.888341E-05        2.230837E-05
         451.6303        1.939759E-05        2.293275E-05
         453.6832        2.046773E-05        2.421579E-05
         455.7360        1.961989E-05        2.322984E-05
         457.7889        1.953379E-05        2.314496E-05
         459.8418        2.087499E-05        2.475237E-05
         461.8946        2.046836E-05        2.428812E-05
         463.9475        1.982209E-05        2.353859E-05
         466.0004        2.111946E-05        2.509771E-05
         468.0532        2.132975E-05        2.536630E-05
         470.1061        2.032230E-05        2.418601E-05
         472.1590        2.126124E-05        2.532212E-05
         474.2118        2.210371E-05        2.634488E-05
         476.2647        2.104540E-05        2.510198E-05
         478.3176        2.140053E-05        2.554436E-05
         480.3704        2.271998E-05        2.713926E-05
         482.4233        2.194894E-05        2.623754E-05
         484.4762        2.164526E-05        2.589356E-05
         486.5290        2.315039E-05        2.771447E-05
         488.5819        2.294421E-05        2.748783E-05
         490.6347        2.208671E-05        2.647997E-05
         492.6876        2.342342E-05        2.810320E-05
         494.7405        2.392019E-05        2.872030E-05
         496.7933        2.277631E-05        2.736696E-05
         498.8462        2.362638E-05        2.840921E-05
         500.8991        2.478091E-05        2.981934E-05
         502.9519        2.370639E-05        2.854728E-05
         505.0048        2.386228E-05        2.875609E-05
         507.0577        2.544429E-05        3.068503E-05
         509.1105        2.480500E-05        2.993600E-05
         511.1634        2.425862E-05        2.929806E-05
         513.2163        2.591909E-05        3.132641E-05
         515.2691        2.597568E-05        3.141781E-05
         517.3220        2.490271E-05        3.014211E-05
         519.3749        2.625050E-05        3.179672E-05
         521.4277        2.709133E-05        3.283922E-05
         523.4806        2.582976E-05        3.133290E-05
         525.5335        2.654487E-05        3.222394E-05
         527.5863        2.805048E-05        3.407655E-05
         529.6392        2.701138E-05        3.283822E-05
         531.6920        2.693384E-05        3.276790E-05
         533.7449        2.879851E-05        3.506207E-05
         535.7978        2.835805E-05        3.455104E-05
         537.8506        2.753966E-05        3.357842E-05
         539.9035        2.934278E-05        3.580305E-05
         541.9564        2.973853E-05        3.631242E-05
         544.0092        2.844823E-05        3.476223E-05
         546.0621        2.976979E-05        3.640365E-05
         548.1150        3.102452E-05        3.796566E-05
         550.1678        2.967780E-05        3.634412E-05
         552.2207        3.020852E-05        3.702102E-05
         554.2736        3.211384E-05        3.938469E-05
         556.3264        3.117309E-05        3.825880E-05
         558.3793        3.081002E-05        3.784075E-05
