  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         583.0137        1.980880E-03        2.454219E-03
         585.0665        2.139345E-03        2.652474E-03
         587.1194        2.355088E-03        2.922082E-03
         589.1723        2.926544E-03        3.633752E-03
         591.2251        3.835667E-03        4.766021E-03
         593.2780        5.145010E-03        6.397584E-03
         595.3309        8.112059E-03        1.009428E-02
         597.3837        1.290364E-02        1.606834E-02
         599.4366        1.645662E-02        2.050756E-02
         601.4895        1.584146E-02        1.975527E-02
         603.5423        1.204880E-02        1.503647E-02
         605.5952        8.278183E-03        1.033835E-02
         607.6481        6.884478E-03        8.604017E-03
         609.7009        7.553770E-03        9.447306E-03
         611.7538        7.590477E-03        9.500080E-03
         613.8066        7.180638E-03        8.993630E-03
         615.8595        8.830013E-03        1.106744E-02
         617.9124        1.019584E-02        1.278858E-02
         619.9652        9.109996E-03        1.143487E-02
         622.0181        9.314300E-03        1.169975E-02
         624.0710        1.168316E-02        1.468589E-02
         626.1238        1.210078E-02        1.522181E-02
         628.1767        9.483745E-03        1.193840E-02
         630.2296        6.318681E-03        7.959868E-03
         632.2824        4.515188E-03        5.692045E-03
         634.3353        4.379338E-03        5.524766E-03
         636.3882        5.171107E-03        6.528326E-03
         638.4410        5.396632E-03        6.817951E-03
         640.4939        4.901352E-03        6.196688E-03
         642.5468        5.597753E-03        7.082230E-03
         644.5996        6.783130E-03        8.588138E-03
         646.6525        5.954431E-03        7.544345E-03
         648.7054        4.230788E-03        5.364323E-03
         650.7582        3.277030E-03        4.158018E-03
         652.8111        2.685863E-03        3.410373E-03
         654.8640        2.527373E-03        3.211437E-03
         656.9168        2.588770E-03        3.291815E-03
         658.9697        2.458053E-03        3.127845E-03
         661.0225        2.753724E-03        3.506599E-03
         663.0754        3.437372E-03        4.380301E-03
         665.1283        4.001959E-03        5.103425E-03
         667.1811        4.775905E-03        6.094756E-03
         669.2340        5.795632E-03        7.401383E-03
         671.2869        6.304187E-03        8.056614E-03
         673.3397        5.812007E-03        7.432945E-03
         675.3926        4.629779E-03        5.925244E-03
         677.4455        3.828719E-03        4.903549E-03
         679.4983        4.096605E-03        5.250398E-03
         681.5512        4.392599E-03        5.633789E-03
         683.6041        3.776817E-03        4.847478E-03
         685.6569        3.198420E-03        4.108054E-03
         687.7098        3.424518E-03        4.401602E-03
         689.7627        4.102671E-03        5.277018E-03
         691.8155        5.023118E-03        6.465554E-03
         693.8684        5.719647E-03        7.367363E-03
         695.9213        5.496032E-03        7.084389E-03
         697.9741        4.848392E-03        6.254046E-03
         700.0270        4.808144E-03        6.206560E-03
         702.0798        5.131547E-03        6.628754E-03
         704.1327        4.875247E-03        6.302170E-03
         706.1856        4.019631E-03        5.199834E-03
         708.2384        3.477313E-03        4.501497E-03
         710.2913        4.138839E-03        5.361687E-03
         712.3442        5.685672E-03        7.370795E-03
         714.3970        6.501618E-03        8.434580E-03
         716.4499        5.841242E-03        7.583273E-03
         718.5028        4.855863E-03        6.308517E-03
         720.5556        4.574881E-03        5.947712E-03
         722.6085        4.589455E-03        5.970908E-03
         724.6614        4.811920E-03        6.264794E-03
         726.7142        6.681521E-03        8.705079E-03
         728.7671        1.001143E-02        1.305276E-02
         730.8200        1.142075E-02        1.490081E-02
         732.8728        9.478135E-03        1.237504E-02
         734.9257        6.749369E-03        8.818519E-03
         736.9786        4.901506E-03        6.408710E-03
         739.0314        3.572437E-03        4.674273E-03
         741.0843        2.911561E-03        3.812271E-03
         743.1371        2.949633E-03        3.864864E-03
         745.1900        3.083057E-03        4.042556E-03
         747.2429        3.360223E-03        4.409108E-03
         749.2957        4.031045E-03        5.293077E-03
         751.3486        4.676718E-03        6.145253E-03
         753.4015        5.492745E-03        7.222638E-03
         755.4543        7.015085E-03        9.230966E-03
         757.5072        7.535436E-03        9.922710E-03
         759.5601        5.924178E-03        7.806522E-03
         761.6129        4.798102E-03        6.327127E-03
         763.6658        4.959186E-03        6.544175E-03
         765.7187        4.273844E-03        5.643786E-03
         767.7715        3.219372E-03        4.254321E-03
         769.8244        2.952651E-03        3.904617E-03
         771.8773        3.222284E-03        4.264196E-03
         773.9301        4.236028E-03        5.609694E-03
         775.9830        4.917589E-03        6.516876E-03
